symbol,market,status,note,entry_date,entry_price
NDRAUTO,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,821.0
GALXBRG,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,910.7
TRABI,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,3.16
DATAMATICS,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,853.5
GKCONS,IN,evicted,golden_cross 2026-07-15 (backfilled) | evicted 2026-07-23 after 6 sessions in sell zone,2026-07-15,11.51
AJAXENGG,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,615.2
GARFIBRES,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,770.15
HOMEFIRST,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1247.1
GREENLAM,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,252.45
IGARASHI,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,465.9
20MICRONS,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,204.43
JD.L,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,87.38
HEN3.F,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,73.7
NCC.L,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,142.8
CLDN.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,380.5
BRSC.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,269.0
BBOX.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,167.2
4443,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,1827.0
7033,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,1362.0
3475,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,1468.0
BLUEJET,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,584.55
HARIOMPIPE,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,403.55
RAMCOIND,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,353.45
2820,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,5040.0
CHOLAFIN,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,1804.9
PPL,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,257.0
FOSECOIND,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,5058.0
PRICOLLTD,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,615.3
WINDLAS,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,844.25
APTUS,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,306.85
PICCADIL,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,729.55
JINDWORLD,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,32.2
FDC,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,420.1
ONMOBILE,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,63.15
ROTO,IN,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,65.05
6333,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,3120.0
8923,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,1783.0
3420,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,1585.0
3753,JP,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,190.0
6276,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,312.0
5269,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,341.0
4543,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,2240.5
8147,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,1470.0
8075,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,2504.0
6915,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,3290.0
5938,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,1861.5
8424,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,4425.0
6325,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,403.0
2818,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,1770.0
1787,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,6190.0
7060,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,628.0
5909,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,1026.0
5108,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,3778.0
3020,JP,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,4120.0
JLHL,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,1558.1
TCBX,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,40.04
SBCF,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,33.5
HQY,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,98.88
IOTR,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,3.37
RCL,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,286.16
ITW,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,271.69
SHC,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,17.42
ATRA,US,evicted,golden_cross 2026-07-20 (backfilled) | evicted 2026-07-23 after 7 sessions in sell zone,2026-07-20,8.29
KMB,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,108.48
PRPL,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,6.5
APM,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,8.83
NMIH,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,42.63
INDP,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,2.46
CRNX,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,83.87
DT,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,44.71
FWONA,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,91.17
ONCH,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,10.29
MS-PQ,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,25.39
ESNT,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,66.17
VINCOFE,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,158.93
INDHOTEL,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,725.05
IKIO,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,214.37
MKS.L,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,379.9
DBK.F,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,30.355
FME.F,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,42.11
RED.MC,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,15.45
NAVKARCORP,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,104.31
EIMCOELECO,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,1822.3
MAITHANALL,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,1012.5
KMEW,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,2445.3
UDS,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,193.52
PRINCEPIPE,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,267.5
PPLPHARMA,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,178.87
FWONK,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,99.2
WBX,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,4.15
TARIL,IN,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,333.6
NAAS,US,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,3.16
3536,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,130.0
4680,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,1270.0
4206,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,3681.0
4053,JP,signal,golden_cross 2026-07-21 (backfilled),2026-07-21,456.0
