market,regime,factor,mean_excess,info_ratio,mean_book,hit,n
KR,bear,qual_mom,0.1689767671609973,0.3528924612641378,0.2451301283496589,0.5036764705882353,272
KR,bear,def_revert,0.39264064334906007,1.3160889150040955,0.47324751801591497,0.6156583629893239,281
EU,bull,trend,0.024221971678263465,0.18933443923949445,0.2446175812684134,0.5357142857142857,420
EU,bull,revert,0.010855627090918562,0.07670814381184805,0.23125123668106842,0.5166666666666667,420
EU,bull,mom126,0.14460647093081985,0.960842779767771,0.3352755416167452,0.6175,400
EU,bull,mom_st,-0.03397438635148758,-0.25186552735289935,0.18642122323866234,0.5023809523809524,420
EU,bull,golden_cross,0.1262077538009323,0.9516927441809431,0.3466033633910821,0.6404761904761904,420
EU,bull,breakout,0.14867319823720093,0.7510753439969001,0.33934226892312624,0.6,400
EU,bull,lowvol,0.031641769196493,0.18972235831935574,0.24931764717713295,0.5369928400954654,419
EU,bull,mom252,0.26764444637051926,1.3890377054028171,0.4051058791692544,0.6746666666666666,375
EU,bull,qual_mom,0.14249640858403378,0.6415693615257554,0.3331654792699591,0.58,400
EU,bull,def_revert,0.0313896325532808,0.15982574239354413,0.24906551053392084,0.5178997613365155,419
EU,bear,trend,-0.30291073602401625,-0.7243721646648338,0.8487067611174272,0.41836734693877553,98
EU,bear,revert,0.30290954494039113,1.1834818606684019,1.420955735281743,0.5959595959595959,99
EU,bear,mom126,-0.08590517760401475,-0.26721710951301053,1.032141012737337,0.5252525252525253,99
EU,bear,mom_st,-0.4324610373572948,-1.855858411728675,0.6855851529840569,0.32323232323232326,99
EU,bear,golden_cross,-0.07551440635280102,-0.20225198469418074,1.0425317839885504,0.494949494949495,99
EU,bear,breakout,-0.31215748346897987,-0.5285654357409428,0.7995482834092555,0.44329896907216493,97
EU,bear,lowvol,-0.19105791665382021,-0.5966311894967821,0.9269882736875312,0.41414141414141414,99
EU,bear,mom252,-0.14724634805613382,-0.4430902293716616,0.9707998422852175,0.494949494949495,99
EU,bear,qual_mom,-0.3034388108007416,-0.6739979256324423,0.81460737954061,0.42424242424242425,99
EU,bear,def_revert,0.10123391524653176,0.3505104443389348,1.4738770379960529,0.5463917525773195,97
