market,h,ret,excess,rsi_evict
IN,63,18.28036690447512,23.195563181111964,33.7
IN,21,4.01578647570997,5.434647870321562,39.0
IN,63,-14.036943608104814,-7.924290598552598,39.0
IN,21,12.536745633754109,12.338781674811017,39.9
IN,63,24.096489711222556,26.45868170294422,39.9
IN,21,6.638793867984294,8.752751302089024,47.7
IN,63,0.3800836183960543,5.420012103279681,47.7
IN,21,5.5911020749865425,10.405427335171957,39.0
IN,63,15.433833642289073,18.999433686050704,39.0
IN,21,-6.843301311847949,-4.226397985876339,41.7
IN,63,-6.17704782563785,3.216057911028214,41.7
IN,21,-0.9844725468224902,-0.9844725468224902,43.8
IN,63,16.187770129662237,18.863922617424066,43.8
IN,21,3.9971665654725763,5.388901284680392,46.0
IN,63,6.9823922282938655,11.25458664869613,46.0
IN,21,10.783242258652104,11.870546957432493,33.2
IN,63,7.140255009107466,16.648463148880356,33.2
IN,21,6.358381502890165,5.6575803629559385,36.1
IN,63,-2.584155049302961,-3.004704423018789,36.1
IN,21,25.032341526520074,25.810993533199145,43.5
IN,63,-3.6869340232858927,3.503217225943589,43.5
IN,21,16.76755447941889,18.397130596547306,52.8
IN,63,42.02986279257463,45.35833612084272,52.8
IN,21,4.495504495504488,8.631219222958375,43.8
IN,63,11.151348651348659,23.337362892436044,43.8
IN,21,-0.8388843030733506,0.8061987526688075,37.3
IN,63,28.598852053058966,38.141249143336324,37.3
IN,21,20.523089879754842,20.523089879754842,41.6
IN,63,24.744303560567072,27.4204560483289,41.6
IN,21,0.46662222645463824,2.0475111726592443,41.0
IN,63,2.4664317684030213,9.442794158338252,41.0
IN,21,6.024780100255378,9.547926293794252,37.2
IN,63,6.91383713231819,13.760257507609674,37.2
IN,21,-3.445418110182741,-2.3581134114023516,28.6
IN,63,12.473337409143404,21.981545548916294,28.6
IN,21,-1.5428965464401312,1.5719791460385157,36.0
IN,63,-11.473557185817995,-2.7197431678829034,36.0
IN,21,3.417248705166842,3.417248705166842,23.6
IN,63,3.107599594540189,5.783752082302018,23.6
IN,21,10.747320328158661,11.92893839119581,43.9
IN,63,22.308812727974427,25.75313973783623,43.9
IN,21,-4.222533759900315,-4.690339709780944,15.7
IN,63,5.818565249170216,5.030428815323762,15.7
IN,21,8.07485200562903,8.200133889868566,35.3
IN,63,-1.2572252654594385,1.4720716395170474,35.3
IN,21,9.89240952619248,12.50931285216409,48.9
IN,63,23.362827832495505,32.75593356916157,48.9
IN,21,15.295891613309776,15.295891613309776,46.3
IN,63,18.519810503336444,21.848283831604533,46.3
IN,21,12.487909979476463,13.96904896197354,43.0
IN,63,29.946292786877528,34.88425746499404,43.0
IN,21,11.931604659902284,11.230803519968058,40.1
IN,63,28.617061255167208,28.19651188145138,40.1
IN,21,25.228681026851586,26.007333033530657,49.1
IN,63,11.094718205960463,19.06888010270391,49.1
IN,21,-3.221538284530867,-2.1493986735879544,38.6
IN,63,-2.4794339297014245,1.4842850032324217,38.6
IN,21,8.31397441350652,7.347334155365903,41.9
IN,63,18.8855806039983,19.222062311039945,41.9
IN,21,16.248728824069268,17.50961223298427,46.4
IN,63,24.991938884341614,28.77749046052146,46.4
IN,21,-0.1881844824926704,-1.819458731319079,32.6
IN,63,9.170651447375189,10.509975065820576,32.6
