symbol,market,filter,detail,score,signal_date,as_of,held_days,entry_used,basis,ret_pct,xret_pct,provenance,source
JYNT,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,9.260000228881836,panel-close,-3.779703378677368,-2.253490686416626,backfilled,us_full_scan_20260714_1205.xlsx
NAMSW,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,24.889999389648438,panel-close,-17.39654541015625,-15.870332717895508,backfilled,us_full_scan_20260714_1205.xlsx
ARL,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,19.450000762939453,panel-close,-18.354755401611328,-16.828542709350586,backfilled,us_full_scan_20260714_1205.xlsx
LINK,US,golden_cross_hist,GC _20260715_1926,,2026-07-15,2026-07-17,2,4.269999980926514,panel-close,8.899295806884766,10.425508499145508,backfilled,us_full_scan_20260715_1926.xlsx
EXFY,US,golden_cross_hist,GC _20260715_1926,,2026-07-15,2026-07-17,2,1.7599999904632568,panel-close,3.9772748947143555,5.503487586975098,backfilled,us_full_scan_20260715_1926.xlsx
MSW,US,golden_cross_hist,GC _20260715_1926,,2026-07-15,2026-07-17,2,1.3600000143051147,panel-close,3.676462173461914,5.202674865722656,backfilled,us_full_scan_20260715_1926.xlsx
PMA,US,golden_cross_hist,GC _20260715_1926,,2026-07-15,2026-07-17,2,1.3700000047683716,panel-close,2.9197096824645996,4.445922374725342,backfilled,us_full_scan_20260715_1926.xlsx
AGIO,US,golden_cross_hist,GC _20260715_1001,,2026-07-15,2026-07-17,2,39.869998931884766,panel-close,-0.6521165370941162,0.874096155166626,backfilled,us_full_scan_20260715_1001.xlsx
IFBD,US,golden_cross_hist,GC _20260715_1926,,2026-07-15,2026-07-17,2,1.159999966621399,panel-close,-0.8620679378509521,0.66414475440979,backfilled,us_full_scan_20260715_1926.xlsx
TTWO,US,golden_cross_hist,GC _20260715_1001,,2026-07-15,2026-07-17,2,243.8000030517578,panel-close,-2.920430898666382,-1.3942182064056396,backfilled,us_full_scan_20260715_1001.xlsx
RPAY,US,golden_cross_hist,GC _20260715_1001,,2026-07-15,2026-07-17,2,4.090000152587891,panel-close,-5.134475231170654,-3.608262538909912,backfilled,us_full_scan_20260715_1001.xlsx
AMC,US,golden_cross_hist,GC _20260715_1926,,2026-07-15,2026-07-17,2,2.069999933242798,panel-close,-6.280189514160156,-4.753976821899414,backfilled,us_full_scan_20260715_1926.xlsx
OTLK,US,golden_cross_hist,GC _20260715_1926,,2026-07-15,2026-07-17,2,1.559999942779541,panel-close,-10.89743423461914,-9.371221542358398,backfilled,us_full_scan_20260715_1926.xlsx
