Symbol,ebit,capital_employed,roace,turnover,tier,roace_pct
CSLFINANCE,1182324000.0,14850453000.0,0.07961534910753228,4500136.11,SMALL,7.961534910753228
SNOWMAN,241936000.0,6829493000.0,0.0354251772422931,6158775.6,SMALL,3.5425177242293096
MALLCOM,487780000.0,3290774000.0,0.14822652664692257,4088913.8499999996,SMALL,14.822652664692257
DOLPHIN,741485000.0,5566355000.0,0.13320835627623462,3936385.85,SMALL,13.320835627623461
VINYLINDIA,221836000.0,1322514000.0,0.1677381109009054,4632874.1,SMALL,16.77381109009054
TRACXN,-67400000.0,594384000.0,-0.11339470779832567,4192384.945,SMALL,-11.339470779832567
MAHEPC,201300000.0,1860000000.0,0.10822580645161291,4037025.48,SMALL,10.82258064516129
OAL,465234000.0,7514255000.0,0.061913523030559914,5818084.699999999,SMALL,6.191352303055991
GINNIFILA,538172000.0,2669004000.0,0.20163776449941626,4052363.48,SMALL,20.163776449941626
SATIA,530499000.0,13300211000.0,0.03988651007115601,5524549.68,SMALL,3.9886510071156014
AERONEU,54990000.0,1099759000.0,0.0500018640447589,5310867.96,SMALL,5.0001864044758895
SCHAND,1132320000.0,11194610000.0,0.10114867780119183,5602827.4,SMALL,10.114867780119182
DREAMFOLKS,183450000.0,3343540000.0,0.054866997254407,4970251.895,SMALL,5.4866997254407
SRHHYPOLTD,1225202000.0,10527415000.0,0.11638203680580655,4901412.7,SMALL,11.638203680580656
VGL,198315000.0,771266000.0,0.25712918759545994,5985933.625,SMALL,25.712918759545992
ORICONENT,295719000.0,11837782000.0,0.02498094659962483,4357053.48,SMALL,2.498094659962483
KUANTUM,1029100000.0,20129600000.0,0.05112371830538113,5780820.42,SMALL,5.1123718305381125
ESTER,406301000.0,12528355000.0,0.03243051462063455,5146315.055,SMALL,3.243051462063455
MOLDTECH,136759000.0,1306182000.0,0.10470133564847778,4423855.725,SMALL,10.470133564847778
