HSN_Code,HSN_Chapter,Chapter_Name,Commodity,Import_FY24_25_USDmillions,Import_FY25_26_USDmillions,YoY_Growth_Percent,Base_Score,Chapter_Priority,Tier,Substitution_Potential,FY30_Savings_USDmillions,Confidence_Level,Quick_Win,Priority_Chemical
29183090,29,Organic Chemicals,OTHER CRBXYLC ACIDS WITH A LDHYD/KETONE FN BUT WITHOUT OTHET OXYGEN...,71.64,61.69,-13.9,3.0,High,Tier 2.5 (Quick-win),60-75%,37.0,0.8,Yes,No
29189920,29,Organic Chemicals,METHYL (E)-2-[2-(CHLORO METHYL) PHENYL)-3-METHOXYACRYLATE,0.24,0.12,-50.4,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29189930,29,Organic Chemicals,"2,4-D amine salt,ethyl ester,sodium salt, 2,4-dichlrophenxy acetic ...",0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29189990,29,Organic Chemicals,OTHERS-OF-OTHERS-OF-CRBOXYLC ACDS WTH ADDTNL OXYGN FNCTNANHYDRDS HA...,72.64,63.94,-12.0,3.0,High,Tier 2.5 (Quick-win),60-75%,38.4,0.8,Yes,No
29191000,29,Organic Chemicals,"TRIS(2,3-DIBROMOPROPYL) PHOSPHATE",0.89,1.0,12.1,4.5,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29199010,29,Organic Chemicals,GLYCEROPHOSPHATE ACID,0.0,0.04,1689.2,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29199020,29,Organic Chemicals,CALCIUM GLYCEROPHOSPHATE,0.01,0.03,351.5,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29199040,29,Organic Chemicals,SODIUM GLYCEROPHOSPHATE,0.01,0.02,68.7,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29199050,29,Organic Chemicals,TRICRESYL PHOSPHATE,0.46,1.57,243.6,5.4,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
29199090,29,Organic Chemicals,OTHER PHASPHRC ESTERS AND THEIR SALTS,26.22,27.13,3.5,3.3,High,Tier 3 (Specialty),15-30%,4.1,0.5,No,No
29201100,29,Organic Chemicals,PARATHION (ISO) AND PARATHION-METHYL (ISO),0.0,0.01,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29201920,29,Organic Chemicals,"THIOPHOSPHORIC ESTERS (PHOSPHOROTHIOATES) AND THEIR SALTS, THEIR BA...",15.29,9.1,-40.5,3.0,High,Tier 3 (Specialty),15-30%,1.4,0.5,No,No
29201930,29,Organic Chemicals,"EDIFENPHOS, FENITROTHION, IPROBENFOS (KITAZIN)",0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29201990,29,Organic Chemicals,OTHER THIOPHOSPRIC ESTRS(PHOSPHORTHIOATES) AND THR SALTS; THR HALGN...,12.61,14.33,13.7,4.5,High,Tier 3 (Specialty),15-30%,2.1,0.5,No,No
29202100,29,Organic Chemicals,DIMETHYL PHOSPHITE,0.1,0.47,376.4,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29202200,29,Organic Chemicals,DIETHYL PHOSPHITE,0.02,0.0,-96.7,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29202300,29,Organic Chemicals,TRIMETHYL PHOSPHITE,0.0,0.0,-85.2,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29202400,29,Organic Chemicals,TRIETHYL PHOSPHITE,0.08,0.04,-51.6,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29202910,29,Organic Chemicals,DIMETHYL SULPHATE,1.05,0.46,-56.0,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29202920,29,Organic Chemicals,DIETHYL SULPHATE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29202930,29,Organic Chemicals,"TRIS (2, 3 DIBROMOPROPYL) PHOSPHATE",2.38,2.62,9.8,3.3,High,Tier 3 (Specialty),15-30%,0.4,0.5,No,No
29202990,29,Organic Chemicals,OTHERS-OF-OTHERS-OF-ESTRS OF OTHR INORGNC ACIDS(EXCL ESTRS OF HYDRG...,13.1,12.21,-6.8,3.0,High,Tier 3 (Specialty),15-30%,1.8,0.5,No,No
29209000,29,Organic Chemicals,*OTHER,56.4,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29209010,29,Organic Chemicals,PROPERGITE,0.0,0.04,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29209090,29,Organic Chemicals,OTHERS-OF-OTR ESTERS OF OTR INORGNC ACDS;THRSLTS ETC,0.0,46.01,,3.0,High,Tier 3 (Specialty),15-30%,6.9,0.5,No,No
29211110,29,Organic Chemicals,DIMETHYL FORMIDE,53.4,32.88,-38.4,3.0,High,Tier 3 (Specialty),15-30%,4.9,0.5,No,No
29211190,29,Organic Chemicals,"FORMAMIDE,N.E.S.",21.14,22.27,5.4,3.3,High,Tier 3 (Specialty),15-30%,3.3,0.5,No,No
29211200,29,Organic Chemicals,"2-(N, N-DIMETHYLAMINO)ETHYLCHLORIDE HYDROCHLORIDE",0.0,0.0,-76.8,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211300,29,Organic Chemicals,"2-(N, N-DIETHYLAMINO)ETHYLCHLORIDE HYDROCHLORIDE",0.1,0.0,-99.9,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211400,29,Organic Chemicals,"2-(N, N-DIISOPROPYLAMINO)ETHYLCHLORIDE HYDROCHLORIDE",0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211910,29,Organic Chemicals,"*2-CHLORO N, N-DIISOPROPYL ETHYLAMINE",0.01,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211911,29,Organic Chemicals,"2-CHLORO N, N-DIISOPROPYL ETHYLAMINE",0.0,0.03,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211912,29,Organic Chemicals,"2-CHLORO N, N-DIMETHYL ETHANAMINE",0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211919,29,Organic Chemicals,"OTHERS-OF-OTHER : N,N-DIALKYL (METHYL, ETHYL, N-PROPYL OR ISOPROPYL...",0.0,0.22,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211920,29,Organic Chemicals,"*2-CHLORO N, N-DIMETHYL ETHANAMINE",0.75,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29211990,29,Organic Chemicals,"OTHERS-OF-OTHER : N,N-DIALKYL (METHYL, ETHYL, N-PROPYL OR ISOPROPYL...",49.72,53.52,7.6,3.3,High,Tier 2.5 (Quick-win),60-75%,32.1,0.8,Yes,No
29212100,29,Organic Chemicals,ETHYLENEDIAMINE AND ITS SALTS,70.67,59.9,-15.2,3.0,High,Tier 2.5 (Quick-win),60-75%,35.9,0.8,Yes,No
29212200,29,Organic Chemicals,HEXAMETHYLENEDIAMINE AND ITS SALTS,3.42,4.09,19.8,4.5,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
29212910,29,Organic Chemicals,HEXAMETHYLENE TETRAMINE (HEXAMINE)        NOT PUT UP AS FUEL OR MED...,10.01,10.41,3.9,3.3,High,Tier 3 (Specialty),15-30%,1.6,0.5,No,No
29212920,29,Organic Chemicals,TRIMETHYLENE TRINIFRAMINE,0.28,0.57,102.8,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29212990,29,Organic Chemicals,"OTHER ACYLC PLYAMINS THR DRVTVS, SALTS    THEREOF",94.06,102.24,8.7,3.96,High,Tier 2.5 (Quick-win),60-75%,61.3,0.8,Yes,No
29213010,29,Organic Chemicals,CYCLOHEXYLAMINE,9.24,6.38,-31.0,3.0,High,Tier 3 (Specialty),15-30%,1.0,0.5,No,No
29213090,29,Organic Chemicals,"OTHER CYCLANIC CYCENIC/CYCLOTRPNC MONO OR POLYAMINS AND THR DRVTVS,...",51.79,48.64,-6.1,3.0,High,Tier 3 (Specialty),15-30%,7.3,0.5,No,No
29214110,29,Organic Chemicals,ANILINE,305.97,352.37,15.2,10.8,High,Tier 2 (Dependent),30-50%,105.7,0.7,No,Yes
29214120,29,Organic Chemicals,ANILINE HYDROCHLORIDE,0.05,0.0,-94.2,6.0,High,Tier 2 (Dependent),30-50%,0.0,0.7,Yes,Yes
29214190,29,Organic Chemicals,OTHR ANILINE SALTS,4.18,3.16,-24.4,6.0,High,Tier 2 (Dependent),30-50%,0.9,0.7,Yes,Yes
29214211,29,Organic Chemicals,PARA CHLOROANILINE,0.06,0.04,-21.6,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214212,29,Organic Chemicals,ORTHO CHLORO PARANITROANILINE,0.27,0.22,-17.6,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214213,29,Organic Chemicals,DICHLOROANILINE,0.03,0.0,-99.2,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214214,29,Organic Chemicals,2:6-DICHLORO PARANITROANILINE,0.98,0.5,-48.7,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29214215,29,Organic Chemicals,2-4-5-TRICHLOROANILINE,0.01,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214221,29,Organic Chemicals,BENZYL ETHYL ANILINE,0.09,0.02,-82.3,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214222,29,Organic Chemicals,DIETHYLANILINE,3.37,7.21,113.9,5.4,High,Tier 3 (Specialty),15-30%,1.1,0.5,No,No
29214223,29,Organic Chemicals,DIMETHYL ANILINE,0.48,0.25,-47.6,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214224,29,Organic Chemicals,ETHYL ANILINE,0.17,3.11,1697.5,5.4,High,Tier 3 (Specialty),15-30%,0.5,0.5,No,No
29214225,29,Organic Chemicals,META NITROANILINE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214226,29,Organic Chemicals,PARA NITROANILINE,0.03,1.83,5381.2,5.4,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
29214232,29,Organic Chemicals,BENZYL ETHYL ANILINE SULPHONIC ACID,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214233,29,Organic Chemicals,METANILC ACDCMETA AMINOBNZN SLPHNC ACD),0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214234,29,Organic Chemicals,SULPHANILIC ACID(PARA AMINOBNZN SLPHNC    ACID PARA ANILINE SULPHON...,13.86,11.6,-16.4,3.0,High,Tier 3 (Specialty),15-30%,1.7,0.5,No,No
29214236,29,Organic Chemicals,"METHYL DOPA(L-ALPHA METHYL-3,             4-DIHYDROXYPHENYLALANINE)",12.16,11.29,-7.1,3.0,High,Tier 3 (Specialty),15-30%,1.7,0.5,No,No
29214290,29,Organic Chemicals,OTHER AMINO SULPHONIC ANILINE ETC NES,23.12,33.31,44.0,5.4,High,Tier 3 (Specialty),15-30%,5.0,0.5,No,No
29214310,29,Organic Chemicals,DIETHYL TOLUIDINE,0.07,0.01,-78.4,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214320,29,Organic Chemicals,DIMETHYL TOLUIDNE,0.0,0.01,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214330,29,Organic Chemicals,ORTHO TOLUIDINE,0.34,0.49,41.9,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29214340,29,Organic Chemicals,META TOLUIDINE,2.67,0.16,-93.9,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214350,29,Organic Chemicals,PARA TOLUIDNE,2.11,1.2,-43.1,3.0,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
29214360,29,Organic Chemicals,2-CHLORO-5-TOLUIDINE-4-SULPHONIC ACID,0.39,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214370,29,Organic Chemicals,2-CHLORO-4-TOLUIDN-5-SLPHNC ACID(SOD SLT),0.0,0.35,,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29214380,29,Organic Chemicals,4-TOLUIDINE-3-SULPHONIC ACID,3.1,2.09,-32.7,3.0,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
29214390,29,Organic Chemicals,*OTHR TOLUIDINES AND THR DRVTVS SLTS THEREOF,33.91,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29214399,29,Organic Chemicals,OTHERS-OF-TOLUIDINES AND THEIR DRVTVS SLTS THEREOF,0.0,19.23,,3.0,High,Tier 3 (Specialty),15-30%,2.9,0.5,No,No
29214410,29,Organic Chemicals,DIPHENYLAMINE,25.34,15.85,-37.4,3.0,High,Tier 3 (Specialty),15-30%,2.4,0.5,No,No
29214490,29,Organic Chemicals,OTHR DIPHNYLAMINE AND ITS DRVTVS;SLTS THROF,4.53,4.19,-7.7,3.0,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
29214512,29,Organic Chemicals,PHENYL ALPHA NAPHTHYLAMINE,0.37,0.35,-6.2,6.0,High,Tier 2 (Dependent),30-50%,0.1,0.7,Yes,Yes
29214513,29,Organic Chemicals,PHENYL BETA NAPHTHYLAMINE,0.0,0.0,2000.0,10.8,High,Tier 2 (Dependent),30-50%,0.0,0.7,Yes,Yes
29214515,29,Organic Chemicals,AMINOLINELI-R-ACID,0.34,0.53,57.5,10.8,High,Tier 2 (Dependent),30-50%,0.2,0.7,Yes,Yes
29214516,29,Organic Chemicals,SODIUM NAPHTHIONATE,0.52,1.35,156.9,10.8,High,Tier 2 (Dependent),30-50%,0.4,0.7,Yes,Yes
