market,symbol,trades,hit,revenue_gross_gains,gross_trading_profit,txn_costs,income_tax,net_income,capital_deployed,operating_income_ebit,geography
US,BH,3,1.0,4440.748725277861,4440.748725277861,30.0,487.29146860283777,3923.457256675023,30000.0,4410.748725277861,United States
US,CGON,5,0.8,5014.091351588777,4522.603451565501,50.0,549.5285337361122,3923.074917829389,50000.0,4472.603451565501,United States
US,USNA,4,1.0,4441.887733716208,4441.887733716208,40.0,486.3125224283233,3915.5752112878845,40000.0,4401.887733716208,United States
US,RVMD,4,1.0,4439.410785606912,4439.410785606912,40.0,486.0388737221718,3913.3719118847403,40000.0,4399.410785606912,United States
US,KRT,3,1.0,4403.515883820508,4403.515883820508,30.0,483.1780522365796,3890.337831583928,30000.0,4373.515883820508,United States
US,CON,5,1.0,4420.527203383506,4420.527203383506,50.0,482.8478682768848,3887.6793351066217,50000.0,4370.527203383506,United States
US,CRL,3,1.0,4390.630863068019,4390.630863068019,30.0,481.7545386617811,3878.876324406238,30000.0,4360.630863068019,United States
US,VALU,3,1.0,4379.616747921047,4379.616747921047,30.0,480.5377193234746,3869.0790285975722,30000.0,4349.616747921047,United States
US,SDHC,4,1.0,4374.742722808524,4374.742722808524,40.0,478.89446417734064,3855.848258631184,40000.0,4334.742722808524,United States
US,VITL,3,1.0,4362.983430023751,4362.983430023751,30.0,478.70010072156686,3854.283329302183,30000.0,4332.983430023751,United States
US,GKOS,5,1.0,4366.020253166305,4366.020253166305,50.0,476.8260399038055,3839.1942132624995,50000.0,4316.020253166305,United States
US,USFD,5,1.0,4343.294336046131,4343.29433604613,50.0,474.31532206005926,3818.9790139860715,50000.0,4293.29433604613,United States
US,BKD,4,1.0,4327.681802377395,4327.681802377394,40.0,473.69525958441926,3813.9865427929753,40000.0,4287.681802377394,United States
US,HCSG,5,1.0,4325.050154879388,4325.050154879388,50.0,472.2997382243153,3802.7504166550734,50000.0,4275.050154879388,United States
US,REYN,5,1.0,4314.963579096296,4314.963579096296,50.0,471.1853917419713,3793.7781873543245,50000.0,4264.963579096296,United States
US,BOW,4,1.0,4288.676793918043,4288.676793918043,40.0,469.3860574423666,3779.290736475676,40000.0,4248.676793918043,United States
US,ALGT,4,1.0,4274.794443472933,4274.794443472933,40.0,467.8523607034687,3766.9420827694644,40000.0,4234.794443472933,United States
US,SON,5,1.0,4283.265397687792,4283.265397687792,50.0,467.683434515964,3765.581963171828,50000.0,4233.265397687792,United States
US,JBSS,5,1.0,4282.510908793435,4282.510908793435,50.0,467.60007996002014,3764.9108288334155,50000.0,4232.510908793435,United States
US,SLGN,5,1.0,4270.770619956276,4270.770619956276,50.0,466.30303427784514,3754.4675856784315,50000.0,4220.770619956276,United States
US,MGNI,3,1.0,4233.146129836365,4233.146129836365,30.0,464.35591277788546,3738.7902170584794,30000.0,4203.146129836365,United States
US,ATEN,5,1.0,4223.992025861532,4223.992025861532,50.0,461.1350205832612,3712.8570052782707,50000.0,4173.992025861532,United States
US,RVLV,5,0.6,4337.773954226612,4237.110720011241,50.0,475.9150038482187,3711.1957161630226,50000.0,4187.110720011241,United States
US,RIVN,2,1.0,4184.80264102685,4184.80264102685,20.0,460.119794119331,3704.682846907519,20000.0,4164.80264102685,United States
