effect,coef,se,p,horizon,n,p_fdr
new_highs:reversal_monthly,22.877904597093966,3.8134565623202223,1.9822286188187552e-09,xret_T+252d,19426,2.134707743343275e-08
golden_cross,-40.16157737869659,9.664775953598346,3.2463557568656e-05,xret_T+252d,19426,0.00016231778784328
golden_cross:reversal_monthly,14.028723608460057,3.4581247348335213,4.9761767686722656e-05,xret_T+252d,19426,0.00020490139635709326
new_highs:below_200dma,-15.884659419984866,4.394291216271533,0.00030053323325317916,xret_T+252d,19426,0.001078837247575515
below_200dma:reversal_monthly,-14.454617592237362,4.035685445041511,0.00034136467707139903,xret_T+252d,19426,0.001165635482682826
darvas:below_200dma,-11.13041820399475,3.471537405583817,0.0013450383983622304,xret_T+252d,19426,0.0043791947853654015
new_highs:low_beta,5.804833735466421,2.035222030640129,0.004341955497003333,xret_T+252d,19426,0.012933484459158864
low_beta,17.99980646161488,7.693122419760607,0.019297838754508786,xret_T+252d,19426,0.047398200449670705
golden_cross:new_highs,4.352438560778318,2.066116309100999,0.0351540326823342,xret_T+252d,19426,0.07812007262740933
below_200dma,24.425088374759895,12.079015902730669,0.043165078710470754,xret_T+252d,19426,0.09197885705089288
golden_cross:below_200dma,9.854861628057527,4.87813378415971,0.04336146118113522,xret_T+252d,19426,0.09197885705089288
reversal_weekly:low_beta,-15.434065879380022,7.710335465422633,0.04531299554564045,xret_T+252d,19426,0.09468387128939795
reversal_monthly:low_beta,-6.082625970131707,3.062423105584064,0.04700962773115115,xret_T+252d,19426,0.09678452768178178
golden_cross:low_beta,-3.585611964112767,1.9228251560776812,0.062214722299022245,xret_T+252d,19426,0.1209730711369877
golden_cross:reversal_weekly,15.096143526834785,8.363391685195861,0.07107053709008543,xret_T+252d,19426,0.1335210553915574
darvas:reversal_weekly,12.224957162361603,8.201142187568815,0.13605582606469646,xret_T+252d,19426,0.21645245055747164
reversal_weekly,16.73365930866447,11.702138235603874,0.152726789774673,xret_T+252d,19426,0.23496429196103538
darvas:low_beta,2.3204788795635083,2.0052772758646706,0.24719635802087347,xret_T+252d,19426,0.3495706073022453
darvas:new_highs,2.265444262533015,2.1243525708705446,0.28623548505159035,xret_T+252d,19426,0.3890579408468219
new_highs,9.492602896730393,9.516727572393021,0.3185388427319198,xret_T+252d,19426,0.42471845697589306
below_200dma:reversal_weekly,-12.034304792762404,12.221974470771105,0.32479852811718246,xret_T+252d,19426,0.4289791880792976
new_highs:reversal_weekly,-8.121343348554989,9.092789962123215,0.3717699016621583,xret_T+252d,19426,0.47750262598809323
reversal_weekly:reversal_monthly,-5.987579906381507,10.371299577789584,0.5637219226575222,xret_T+252d,19426,0.6661639710000875
darvas:reversal_monthly,1.3683998785365936,3.2269774138372216,0.6715293250124214,xret_T+252d,19426,0.7769760785267684
darvas,2.009441067871232,8.252108423816198,0.8076131415973089,xret_T+252d,19426,0.8886287781285858
golden_cross:darvas,-0.43452666231598225,2.044865176976668,0.8317197197692723,xret_T+252d,19426,0.8886287781285858
below_200dma:low_beta,-0.6248143131734321,2.948761634554913,0.8321925320630307,xret_T+252d,19426,0.8886287781285858
reversal_monthly,-0.3483277589186623,10.690550022820933,0.9740073081175955,xret_T+252d,19426,0.9810145549385854
log_liquidity,1.6146637547338778,0.31248282965067087,2.3761687201941202e-07,xret_T+252d,19426,
volatility_63d,-1.7981782728553333,1.4874658854586515,0.22670623512938182,xret_T+252d,19426,
reversal_weekly,3.1763596992891494,0.4557169680246555,3.1687953274772667e-12,xret_T+5d,21786,7.393855764113622e-11
new_highs:reversal_monthly,0.9353123186691076,0.14037858679691997,2.686869005769499e-11,xret_T+5d,21786,5.373738011538998e-10
below_200dma:low_beta,0.7429617932006806,0.11544197829206683,1.2282250855631202e-10,xret_T+5d,21786,1.910572355320409e-09
below_200dma:reversal_weekly,-1.8293683054112915,0.4423245201488806,3.537112699988128e-05,xret_T+5d,21786,0.0001650652593327793
new_highs:low_beta,0.2866403025401938,0.07025046934958398,4.498501757740218e-05,xret_T+5d,21786,0.00019680945190113453
darvas:new_highs,0.3034179102190349,0.07461253974901734,4.7707979992535156e-05,xret_T+5d,21786,0.00020239749087742187
golden_cross:below_200dma,0.6788735353036167,0.16972245700383265,6.33681829874371e-05,xret_T+5d,21786,0.0002534727319497484
darvas:below_200dma,-0.4317841222308539,0.1537962314062002,0.004992646777970869,xret_T+5d,21786,0.014561886435748368
below_200dma:reversal_monthly,0.40285106141142674,0.1882836623179883,0.03238739122208342,xret_T+5d,21786,0.07313281888857548
golden_cross:low_beta,-0.13499745828767362,0.07135826511005681,0.05851409873798926,xret_T+5d,21786,0.11786943519817175
new_highs:below_200dma,-0.3118245747616358,0.17303367414025453,0.07152913681690574,xret_T+5d,21786,0.1335210553915574
darvas:reversal_monthly,0.23802823213019153,0.1369598345569374,0.08222105555259271,xret_T+5d,21786,0.15145983917582867
new_highs:reversal_weekly,-0.5544642448481457,0.32194389331036455,0.08502627996180281,xret_T+5d,21786,0.15459323629418692
reversal_weekly:reversal_monthly,-0.6470467078350046,0.39816889256620397,0.10415064851405618,xret_T+5d,21786,0.17567579267431166
golden_cross,0.5130033042295361,0.32877581951830853,0.11867866329528157,xret_T+5d,21786,0.1911155568847964
below_200dma,0.62046832272979,0.4224089686477225,0.14186518810214677,xret_T+5d,21786,0.22315872285730953
darvas,0.4448210342993866,0.317383263241301,0.16105670742982425,xret_T+5d,21786,0.23876685245553086
reversal_weekly:low_beta,-0.4144927225871884,0.29313448008120974,0.15736133380201667,xret_T+5d,21786,0.23876685245553086
golden_cross:reversal_weekly,-0.39605645388180366,0.30713415090576757,0.1972164362255131,xret_T+5d,21786,0.28760730282887326
new_highs,0.3882033712759691,0.34489548600855663,0.26034835928359834,xret_T+5d,21786,0.36448770299703764
golden_cross:darvas,-0.06990226299915334,0.07975524056634539,0.38078011580789894,xret_T+5d,21786,0.4846292383009623
golden_cross:reversal_monthly,-0.09100948054611274,0.150744375390683,0.546020612187428,xret_T+5d,21786,0.6647207452716516
