symbol,country,pegu_score,pegu_grade,darvas,piotroski,coffee_can,cc_score,n_product_codes,in_validated_universe,market
Imperial Brands,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Implenia,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
Inditex,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Indra Sistemas,Spain,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,ES
Inficon Holding AG,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
Infineon Tech,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Infrastrutture Wireless,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Innoscripta,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Intel [EUR],Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Interpump Group SpA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Intesa Sanpaolo,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Intl. Cons. Airline Grp,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Investor [SEK],Sweden,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,SE
Ionos Group,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Ipsen S.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Ipsen SA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Italgas S.P.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Iveco Group,Netherlands,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,NL
J SAINSBURY (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
J. B. HUNT TRANSPORT,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
J. SAINSBURY PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
JC DECAUX SE,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
JD Sports,UK,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,GB
JOHNSON MATTHEY (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
JOHNSON MATTHEY PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
JOHNSON U. JOHN. DIVIDEND  FUTURE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
JPMORG. CHASE U. CO,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
JPMORGAN CHASE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
JPMORGAN CHASE & CO.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
JULIUS BAER,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
JULIUS BAER GROUP,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
JULIUS BAER GRUPPE,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
JetBlue Airways,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Julius Baer Group,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
K + S,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
K+S AG,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
K+S Aktiengesellschaft,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KARDEX HOLDING AG,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
KBC ANC.ACTIONS AU PORT,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KBC GROUP,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KBC Groep,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
KBC Groep N.V.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KEMIRA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KERRY GROUP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KERRY GROUP PLC,Ireland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,IE
KESKO OYJ-B SHARES,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KGHM,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KIMBERLY-CLARK CORP.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KINGFISHER (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KINGFISHER PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KINGSPAN GROUP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KINGSPAN GROUP PLC,Ireland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,IE
KION Group,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
KLOECKNER & CO SE - TENDERED,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
KNORR-BREMSE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KNORR-BREMSE AG,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
KOMAX HLDG,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
KON. KPN N.V.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KONE Corp. [New],Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KONECRANES OYJ,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KONINKLIJKE KPN N.V.DIVIDEND FUTURE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KONINKLIJKE PHILIPS  DIVID FUTURE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
KPN,Netherlands,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,NL
KUDELSKI AG,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
KUEHNE & NAGEL INTERN,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
KUEHNE & NAGEL INTERNAT,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
KUEHNE + NAGEL INTERNATIONAL,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Kering (mini),Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Kering S.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Kerry Group PLC,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Kesko Oy,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Kesko Oyj,Finland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,FI
Kingspan Group PLC,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Kinnevik [SEK],Sweden,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,SE
Knorr-Bremse AG,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Koenig & Bauer,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Komax Holding,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Kon. KPN N.V.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Koninklijke Ahold N.V.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Koninklijke Hejimans,Netherlands,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,NL
Koninklijke Vopak N.V.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Kuehne & Nagel Int.,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Kuehne + Nagel International A DIVIDEND FUT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
L OREAL,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LAKEFRONT BIOTHERAPEUTICS,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LAND SECURITIES (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LAND SECURITIES GROUP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LANXESS AG,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LANXESS DIVIDEND FUT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LAS VEGAS SANDS CORP.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LEGAL & GENERAL (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LEGAL & GENERAL GP,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LEGAL & GENERAL GROUP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LENZING,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LENZING AG,Austria,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,AT
LEONARDO S.P.A,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LEONARDO SPA,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LEONTEQ AG,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
LLOYDS,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LLOYDS (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
LLOYDS BANKING GROUP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
LOGISTA INTEGRAL SA,Spain,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,ES
LOGITECH,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
