symbol,country,darvas,piotroski,coffee_can,cc_score,has_ssf,has_sso,has_trf,has_div,n_product_codes,in_validated_universe,is_dax40,pegu_score,pegu_grade,market
LOreal,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
LVMH,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,0,43,C+,DE
MAPFRE S.A.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
MERCK,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,1,43,C+,DE
METSO CORP,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
MICHELIN,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
MICROSOFT,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
MTU AERO ENGINES AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
MetLife,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
NEMETSCHEK SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
NEXANS,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
NN GROUP,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
NORFOLK SOUTHERN,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
NORMA GROUP SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
NVIDIA,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
Northern Data,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
OCI,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
PARTNERS GROUP HOLDING,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
PEPSICO,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
PFIZER,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
PNE AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
PORSCHE AUTOMOBIL H. SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
POSTE ITALIANE,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
PROSIEBENSAT.1 MEDIA AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
PROSUS,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
Pirelli & C. S.p.A.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
RATIONAL AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
RELX,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,0,43,C+,DE
REMY COINTREAU S.A.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
RHEINMETALL,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
SALZGITTER,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
SARTORIUS AG VZ,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
SCHAEFFLER AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
SCOR SE,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
SCOUT24 S.E,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
SEB,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
SGS,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
SIEMENS,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
SIEMENS ENERGY,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,1,43,C+,DE
SIG Group,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
SIKA,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
