Product,Contract,PreviousDaySettlementPrice
OESX,OESX SI 20260724 CS EU C 5225 0,1137
OESX,OESX SI 20321217 CS EU P 6200 0,821.2
OESX,OESX SI 20260814 CS EU P 6500 0,192.6
OESX,OESX SI 20260710 CS EU P 7050 0,691.6
OESX,OESX SI 20261218 CS EU C 6900 0,79.6
OESX,OESX SI 20261120 CS EU C 6700 0,114
OESX,OESX SI 20260717 CS EU C 6750 0,0.4
OESX,OESX SI 20260831 CS EU P 5375 0,11.5
OESX,OESX SI 20261218 CS EU P 3300 0,5.2
OESX,OESX SI 20260710 CS EU C 6850 0,0.1
OESX,OESX SI 20261120 CS EU C 5225 0,1202.7
OESX,OESX SI 20260724 CS EU P 7150 0,786.7
OESX,OESX SI 20260724 CS EU P 6525 0,182.8
OESX,OESX SI 20280317 CS EU C 4100 0,2352.3
OESX,OESX SI 20270416 CS EU P 4300 0,36.7
OESX,OESX SI 20261120 CS EU P 4850 0,23.7
OESX,OESX SI 20311219 CS EU P 4350 0,306.4
OESX,OESX SI 20261218 CS EU P 2400 0,1.5
OESX,OESX SI 20260717 CS EU C 7125 0,0.1
OESX,OESX SI 20260814 CS EU P 5000 0,3.2
OESX,OESX SI 20291221 CS EU P 6150 0,633.5
OESX,OESX SI 20270716 CS EU P 5400 0,164
OESX,OESX SI 20260831 CS EU P 6225 0,92
OESX,OESX SI 20260717 CS EU P 6450 0,116.3
OESX,OESX SI 20270319 CS EU C 6300 0,433.1
OESX,OESX SI 20260731 CS EU P 5425 0,3.2
OESX,OESX SI 20301220 CS EU P 5300 0,451.8
OESX,OESX SI 20260703 CS EU P 6565 0,205.6
OESX,OESX SI 20331216 CS EU P 7400 0,1327.4
OESX,OESX SI 20260724 CS EU P 6850 0,487.4
OESX,OESX SI 20290615 CS EU P 7300 0,1168.5
OESX,OESX SI 20280317 CS EU P 6400 0,538.7
OESX,OESX SI 20270917 CS EU P 4100 0,59.1
OESX,OESX SI 20260918 CS EU P 5175 0,13.9
OESX,OESX SI 20260724 CS EU P 6025 0,13
OESX,OESX SI 20260831 CS EU C 6150 0,298.4
OESX,OESX SI 20261016 CS EU P 5125 0,21.4
OESX,OESX SI 20260710 CS EU P 5700 0,0.5
OESX,OESX SI 20291221 CS EU C 700 0,5327.1
OESX,OESX SI 20290316 CS EU C 5700 0,1159.4
OESX,OESX SI 20260731 CS EU C 5475 0,891.8
OESX,OESX SI 20290316 CS EU P 5000 0,260.2
OESX,OESX SI 20321217 CS EU P 5200 0,529.3
OESX,OESX SI 20260717 CS EU C 4575 0,1785.2
OESX,OESX SI 20260807 CS EU C 5275 0,1090.9
OESX,OESX SI 20281215 CS EU P 3900 0,112.5
OESX,OESX SI 20280616 CS EU C 7000 0,339.3
OESX,OESX SI 20331216 CS EU C 3800 0,2796.6
OESX,OESX SI 20260703 CS EU C 7250 0,0.1
OESX,OESX SI 20290316 CS EU C 4500 0,2038.7
OESX,OESX SI 20260703 CS EU C 6265 0,94.7
OESX,OESX SI 20341215 CS EU P 4800 0,509.6
OESX,OESX SI 20281215 CS EU P 2100 0,27.3
OESX,OESX SI 20301220 CS EU C 2100 0,4058.5
OESX,OESX SI 20351221 CS EU P 6000 0,845.8
OESX,OESX SI 20260814 CS EU C 5875 0,513.5
OESX,OESX SI 20261120 CS EU C 2000 0,4360.9
OESX,OESX SI 20260831 CS EU P 6525 0,224.2
OESX,OESX SI 20260821 CS EU C 3700 0,2663.6
OESX,OESX SI 20270917 CS EU P 6800 0,671
OESX,OESX SI 20270115 CS EU C 5550 0,944.9
OESX,OESX SI 20260821 CS EU P 6175 0,68.9
OESX,OESX SI 20260703 CS EU P 5875 0,0.1
OESX,OESX SI 20260807 CS EU C 5375 0,992.1
OESX,OESX SI 20260717 CS EU C 4850 0,1510.6
OESX,OESX SI 20321217 CS EU C 5600 0,1624.7
OESX,OESX SI 20270416 CS EU C 4200 0,2223.7
OESX,OESX SI 20311219 CS EU C 4000 0,2571.5
OESX,OESX SI 20260930 CS EU C 7250 0,3.6
OESX,OESX SI 20260717 CS EU C 7050 0,0.1
OESX,OESX SI 20260724 CS EU P 6050 0,14.7
OESX,OESX SI 20271217 CS EU C 3000 0,3337.3
OESX,OESX SI 20260703 CS EU C 6745 0,0.1
OESX,OESX SI 20261218 CS EU P 6425 0,284.3
OESX,OESX SI 20260724 CS EU C 5775 0,591.2
OESX,OESX SI 20261016 CS EU C 7100 0,12.7
OESX,OESX SI 20321217 CS EU P 5800 0,693.2
OESX,OESX SI 20261016 CS EU C 7225 0,6.9
OESX,OESX SI 20270416 CS EU C 4400 0,2034.5
OESX,OESX SI 20271217 CS EU P 7900 0,1489.9
OESX,OESX SI 20260724 CS EU P 7275 0,911.5
OESX,OESX SI 20270618 CS EU P 6750 0,608.8
OESX,OESX SI 20260918 CS EU P 6150 0,95.6
OESX,OESX SI 20290316 CS EU C 6100 0,911.4
OESX,OESX SI 20280915 CS EU P 5700 0,378.1
OESX,OESX SI 20270521 CS EU P 4200 0,42.8
OESX,OESX SI 20270618 CS EU P 4000 0,40.2
OESX,OESX SI 20270521 CS EU C 6700 0,249
OESX,OESX SI 20261218 CS EU P 5850 0,116.8
OESX,OESX SI 20260731 CS EU P 7050 0,684
OESX,OESX SI 20331216 CS EU C 4200 0,2534
OESX,OESX SI 20270618 CS EU P 7700 0,1327.3
OESX,OESX SI 20301220 CS EU C 1050 0,4952.1
OESX,OESX SI 20291221 CS EU P 5750 0,503.8
OESX,OESX SI 20260703 CS EU P 5930 0,0.1
OESX,OESX SI 20290316 CS EU C 3000 0,3314.7
OESX,OESX SI 20271217 CS EU C 4700 0,1791
OESX,OESX SI 20260918 CS EU C 7900 0,0.1
OESX,OESX SI 20260930 CS EU C 6125 0,358.6
OESX,OESX SI 20270319 CS EU C 4400 0,2040.4
OESX,OESX SI 20261016 CS EU C 5275 0,1132.3
OESX,OESX SI 20260918 CS EU C 5975 0,470.2
OESX,OESX SI 20270219 CS EU P 4400 0,29.5
OESX,OESX SI 20260821 CS EU P 4200 0,1.1
OESX,OESX SI 20260821 CS EU C 2500 0,3859.4
OESX,OESX SI 20260904 CS EU C 6800 0,18.8
OESX,OESX SI 20311219 CS EU C 2400 0,3795.8
OESX,OESX SI 20260703 CS EU P 6020 0,0.1
OESX,OESX SI 20260904 CS EU C 6125 0,326.4
OESX,OESX SI 20321217 CS EU C 2400 0,3787
OESX,OESX SI 20260717 CS EU P 6675 0,314.1
OESX,OESX SI 20311219 CS EU P 4700 0,371.4
OESX,OESX SI 20351221 CS EU P 5100 0,606.9
OESX,OESX SI 20260731 CS EU C 5000 0,1363.9
OESX,OESX SI 20260717 CS EU P 5125 0,0.5
OESX,OESX SI 20331216 CS EU C 6600 0,1229.4
OESX,OESX SI 20260703 CS EU P 6495 0,135.6
OESX,OESX SI 20290615 CS EU C 6900 0,524.5
OESX,OESX SI 20260814 CS EU C 5575 0,800.9
OESX,OESX SI 20270917 CS EU P 7900 0,1493.6
OESX,OESX SI 20260710 CS EU C 7275 0,0.1
OESX,OESX SI 20270319 CS EU P 6150 0,245.7
OESX,OESX SI 20260821 CS EU C 5275 0,1100.2
OESX,OESX SI 20260821 CS EU P 1600 0,0.1
OESX,OESX SI 20261016 CS EU C 7175 0,8.8
OESX,OESX SI 20260724 CS EU C 6900 0,0.2
OESX,OESX SI 20301220 CS EU C 6050 0,1164.4
OESX,OESX SI 20291221 CS EU P 6650 0,835.2
OESX,OESX SI 20270521 CS EU C 7050 0,131.8
OESX,OESX SI 20260724 CS EU P 5075 0,1
OESX,OESX SI 20260731 CS EU P 6100 0,28.2
OESX,OESX SI 20260710 CS EU P 6775 0,416.7
OESX,OESX SI 20260717 CS EU C 4750 0,1610.5
OESX,OESX SI 20260814 CS EU P 5525 0,9
OESX,OESX SI 20351221 CS EU P 5300 0,655.4
OESX,OESX SI 20270917 CS EU P 6400 0,473.1
OESX,OESX SI 20290316 CS EU P 4800 0,225.6
OESX,OESX SI 20301220 CS EU P 5200 0,427.5
OESX,OESX SI 20260731 CS EU C 5775 0,597
OESX,OESX SI 20261016 CS EU C 2500 0,3862.3
OESX,OESX SI 20261218 CS EU P 1350 0,0.1
OESX,OESX SI 20270416 CS EU P 4800 0,60
OESX,OESX SI 20271217 CS EU P 6300 0,470.9
OESX,OESX SI 20280616 CS EU P 4700 0,164.3
OESX,OESX SI 20260724 CS EU P 5750 0,4.4
OESX,OESX SI 20260703 CS EU P 6950 0,590.6
OESX,OESX SI 20260904 CS EU P 6625 0,297.4
OESX,OESX SI 20270521 CS EU P 4400 0,51.8
OESX,OESX SI 20271217 CS EU P 3400 0,40.9
OESX,OESX SI 20260904 CS EU C 7150 0,1.7
OESX,OESX SI 20260821 CS EU P 7325 0,950.9
OESX,OESX SI 20261016 CS EU C 5900 0,561.5
OESX,OESX SI 20260918 CS EU P 4000 0,2.5
OESX,OESX SI 20351221 CS EU C 6400 0,1518.2
OESX,OESX SI 20291221 CS EU P 6450 0,749.2
OESX,OESX SI 20260703 CS EU C 5025 0,1334.3
OESX,OESX SI 20270521 CS EU C 4000 0,2367.4
OESX,OESX SI 20260717 CS EU P 3300 0,0.1
OESX,OESX SI 20301220 CS EU C 3450 0,2953.7
OESX,OESX SI 20281215 CS EU C 6350 0,727.3
OESX,OESX SI 20261016 CS EU P 4750 0,12.9
OESX,OESX SI 20280317 CS EU C 6600 0,497.6
OESX,OESX SI 20270618 CS EU C 3900 0,2460.7
OESX,OESX SI 20270521 CS EU P 4850 0,80
OESX,OESX SI 20301220 CS EU P 5700 0,559.8
OESX,OESX SI 20260930 CS EU C 6700 0,57.9
OESX,OESX SI 20260831 CS EU P 6800 0,437.5
OESX,OESX SI 20270219 CS EU C 5300 0,1188.8
OESX,OESX SI 20270618 CS EU C 4850 0,1585.7
OESX,OESX SI 20260717 CS EU C 2000 0,4357.7
OESX,OESX SI 20260918 CS EU C 2900 0,3468.1
OESX,OESX SI 20260814 CS EU P 5375 0,6.5
OESX,OESX SI 20261218 CS EU C 4000 0,2390.4
OESX,OESX SI 20321217 CS EU P 5300 0,554.4
OESX,OESX SI 20260731 CS EU C 7000 0,0.1
OESX,OESX SI 20270521 CS EU C 5800 0,784.4
OESX,OESX SI 20311219 CS EU P 2000 0,76.7
OESX,OESX SI 20270618 CS EU C 1500 0,4771.2
OESX,OESX SI 20260831 CS EU C 7300 0,0.4
OESX,OESX SI 20260831 CS EU P 7100 0,723.3
OESX,OESX SI 20260717 CS EU C 6725 0,0.5
OESX,OESX SI 20260904 CS EU P 6525 0,230.9
OESX,OESX SI 20261218 CS EU P 8400 0,1974.1
OESX,OESX SI 20260918 CS EU C 6675 0,55.4
OESX,OESX SI 20270319 CS EU C 2500 0,3877.5
OESX,OESX SI 20331216 CS EU P 6400 0,924.8
OESX,OESX SI 20260807 CS EU P 6875 0,511
