Product,Contract,PreviousDaySettlementPrice
ODAX,ODAX SI 20270618 CS EU C 28600 0,723.3
ODAX,ODAX SI 20271217 CS EU P 20800 0,653.1
ODAX,ODAX SI 20260731 CS EU C 25650 0,368.3
ODAX,ODAX SI 20260821 CS EU C 26750 0,140
ODAX,ODAX SI 20260731 CS EU P 24550 0,114
ODAX,ODAX SI 20281215 CS EU C 21600 0,6716
ODAX,ODAX SI 20280616 CS EU P 28200 0,3004.4
ODAX,ODAX SI 20270618 CS EU P 18400 0,230.5
ODAX,ODAX SI 20270319 CS EU P 22200 0,448
ODAX,ODAX SI 20260821 CS EU P 26200 0,838.7
ODAX,ODAX SI 20261218 CS EU P 25700 0,1048.9
ODAX,ODAX SI 20280616 CS EU P 21200 0,901.1
ODAX,ODAX SI 20260821 CS EU C 18200 0,7438.9
ODAX,ODAX SI 20291221 CS EU P 25000 0,2138.1
ODAX,ODAX SI 20280616 CS EU P 19000 0,595
ODAX,ODAX SI 20261218 CS EU C 24200 0,2244.7
ODAX,ODAX SI 20260821 CS EU P 25250 0,392.4
ODAX,ODAX SI 20260724 CS EU C 27950 0,
ODAX,ODAX SI 20260703 CS EU P 26525 0,963
ODAX,ODAX SI 20270319 CS EU C 27800 0,664.2
ODAX,ODAX SI 20270319 CS EU C 25800 0,1581
ODAX,ODAX SI 20260807 CS EU P 23650 0,68.7
ODAX,ODAX SI 20261218 CS EU P 18600 0,92.3
ODAX,ODAX SI 20260731 CS EU C 25450 0,484.3
ODAX,ODAX SI 20280616 CS EU C 22800 0,5346.6
ODAX,ODAX SI 20260717 CS EU P 27600 0,2008.4
ODAX,ODAX SI 20270618 CS EU P 25200 0,1257.3
ODAX,ODAX SI 20280616 CS EU P 29400 0,3657.9
ODAX,ODAX SI 20260807 CS EU C 22200 0,3447.5
ODAX,ODAX SI 20260710 CS EU P 22800 0,1.7
ODAX,ODAX SI 20260703 CS EU C 26650 0,0.1
ODAX,ODAX SI 20270618 CS EU P 20300 0,364
ODAX,ODAX SI 20260717 CS EU P 20000 0,1.2
ODAX,ODAX SI 20280915 CS EU C 26600 0,3107.5
ODAX,ODAX SI 20260731 CS EU P 23750 0,50.6
ODAX,ODAX SI 20271217 CS EU P 15400 0,205.7
ODAX,ODAX SI 20271217 CS EU P 25200 0,1586.7
ODAX,ODAX SI 20261218 CS EU P 14200 0,25.1
ODAX,ODAX SI 20280616 CS EU P 24200 0,1520.9
ODAX,ODAX SI 20260703 CS EU C 26500 0,0.1
ODAX,ODAX SI 20260703 CS EU P 26150 0,588.2
ODAX,ODAX SI 20280915 CS EU C 29400 0,1779
ODAX,ODAX SI 20260731 CS EU C 24900 0,882.9
ODAX,ODAX SI 20260717 CS EU P 22550 0,6
ODAX,ODAX SI 20260703 CS EU P 25750 0,196.3
ODAX,ODAX SI 20260821 CS EU C 26500 0,199.3
ODAX,ODAX SI 20260731 CS EU C 22950 0,2688.6
ODAX,ODAX SI 20260918 CS EU C 25550 0,799.4
ODAX,ODAX SI 20260703 CS EU P 24325 0,0.2
ODAX,ODAX SI 20260710 CS EU C 26450 0,9.9
ODAX,ODAX SI 20270917 CS EU P 34000 0,7369.4
ODAX,ODAX SI 20260731 CS EU P 27150 0,1548.1
ODAX,ODAX SI 20270319 CS EU C 24900 0,2150.7
ODAX,ODAX SI 20260807 CS EU C 27900 0,
ODAX,ODAX SI 20260717 CS EU C 22700 0,2895.6
ODAX,ODAX SI 20281215 CS EU P 20000 0,856.7
ODAX,ODAX SI 20291221 CS EU C 19000 0,9564.5
