yf_symbol,market_name,quality_tier,quality_score,momentum_3m,above_ma200
300759.SZ,China,Strong,7.984175111118983,-2.6662260971634058,1
GOLD360.NS,India,Strong,7.990206757061053,-2.6712286962221743,1
KCHVU,United States,Strong,7.997903094135834,-2.6827007455686127,1
8101.T,Japan,Strong,7.991917609222471,-2.696177062374246,1
2303.T,Japan,Strong,7.989419136624147,-2.696353342638287,1
SHIP,United States,Strong,7.984493628396726,-2.6970951346460885,1
3513.T,Japan,Strong,7.99187718765425,-2.702702702702702,1
USAC,United States,Strong,7.991371108286433,-2.7058238879662992,1
5013.T,Japan,Strong,7.989579889554391,-2.706270627062706,1
9312.T,Japan,Strong,7.9918005561982834,-2.7369141293191923,1
9307.T,Japan,Strong,7.989498250385063,-2.766798418972332,1
ZIM,United States,Strong,7.980341732326907,-2.7756637392127828,1
9793.T,Japan,Strong,7.990821884594441,-2.7848101265822782,1
ROST,United States,Strong,7.991089931632033,-2.7873219251148096,1
0006.HK,Hong Kong,Strong,7.994804337867668,-2.7959896164642313,1
SLC.AX,Australia,Strong,7.987366601459753,-2.821321347132213,1
OSK,United States,Strong,7.9896496375963455,-2.829795219119532,1
600998.SS,China,Strong,7.990914413636005,-2.884381210964839,1
054090.KQ,South Korea,Strong,7.983285473643019,-2.8855721393034823,1
603132.SS,China,Strong,7.98780764534053,-2.9158142212484717,1
2894.T,Japan,Strong,7.995133222303768,-2.941176470588235,1
INVA,United States,Strong,7.991775773579606,-2.957809099372201,1
9475.T,Japan,Strong,7.993402248790967,-2.9585798816568047,1
034590.KS,South Korea,Strong,7.995229895405971,-2.9962546816479403,1
9632.T,Japan,Strong,7.992069341458954,-3.009575923392613,1
8349.T,Japan,Strong,7.993292824668873,-3.0136986301369864,1
600499.SS,China,Strong,7.986480059565968,-3.024198887820711,1
BPYPN,United States,Strong,7.992607174874211,-3.028118815856902,1
POWWP,United States,Strong,7.992445446479451,-3.0303030303030303,1
SSRM,United States,Strong,7.983114643161636,-3.039895778315113,1
052860.KQ,South Korea,Strong,7.984029475666594,-3.0501089324618738,1
UNIONGOLD.NS,India,Strong,7.990199640893918,-3.0984016769808527,1
SIM,United States,Strong,7.986324454687165,-3.1168802215992377,1
1914.T,Japan,Strong,7.989292855974869,-3.138373751783167,1
3201.T,Japan,Strong,7.992905089161036,-3.145764438648438,1
8622.T,Japan,Strong,7.990071772636191,-3.170028818443804,1
8803.T,Japan,Strong,7.9929005123996415,-3.179779861394211,1
9265.T,Japan,Strong,7.991840484659026,-3.1971862962896953,1
7463.T,Japan,Strong,7.993061735188359,-3.1982942430703627,1
2354.T,Japan,Strong,7.9879528348508035,-3.203661327231121,1
